VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Nitrate    ,F,O,Chlorophyl ,F,O,Pressure   ,F,O,,,,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,ug/l      ,, , ,dbar      ,, , 
31,6.8,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0657,0,1,6.8,0,1,,,,,
32,6.9,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0584,0,1,6.9,0,1,,,,,
33,7,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0657,0,1,7,0,1,,,,,
34,7.2,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0584,0,1,7.2,0,1,,,,,
35,7.3,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0584,0,1,7.4,0,1,,,,,
36,7.4,0,1,28.38,0,1,34.623,0,1,   ---0---,0,0,0.0511,0,1,7.5,0,1,,,,,
37,7.5,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0584,0,1,7.6,0,1,,,,,
38,7.7,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0657,0,1,7.8,0,1,,,,,
39,8,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0657,0,1,8.1,0,1,,,,,
40,8.1,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0657,0,1,8.2,0,1,,,,,
41,8.2,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0584,0,1,8.3,0,1,,,,,
42,8.4,0,1,28.3,0,1,34.626,0,1,   ---0---,0,0,0.0584,0,1,8.5,0,1,,,,,
43,8.5,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0584,0,1,8.6,0,1,,,,,
44,8.7,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0584,0,1,8.8,0,1,,,,,
45,8.9,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0584,0,1,9,0,1,,,,,
46,9.1,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0584,0,1,9.2,0,1,,,,,
47,9.3,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0657,0,1,9.4,0,1,,,,,
48,9.4,0,1,28.18,0,1,34.614,0,1,   ---0---,0,0,0.0511,0,1,9.5,0,1,,,,,
49,9.6,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0657,0,1,9.7,0,1,,,,,
50,9.8,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0584,0,1,9.9,0,1,,,,,
51,9.9,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0584,0,1,10,0,1,,,,,
