VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Oxygen     ,F,O,Nitrate    ,F,O,Chlorophyl ,F,O,Pressure   ,F,O,,,,,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,ug/l      ,, , ,dbar      ,, , 
75,8.5,0,1,   ---0---,0,1,   ---0---,0,1,178.238,0,1,   ---0---,0,1,0.504,0,1,8.6,0,1,,,,,,
76,8.6,0,1,   ---0---,0,1,   ---0---,0,1,178.232,0,1,   ---0---,0,1,0.533,0,1,8.7,0,1,,,,,,
77,8.8,0,1,   ---0---,0,1,   ---0---,0,1,178.266,0,1,   ---0---,0,1,0.562,0,1,8.9,0,1,,,,,,
78,8.9,0,1,   ---0---,0,1,   ---0---,0,1,178.216,0,1,   ---0---,0,1,0.511,0,1,9,0,1,,,,,,
79,9,0,1,   ---0---,0,1,   ---0---,0,1,178.284,0,1,   ---0---,0,1,0.511,0,1,9.1,0,1,,,,,,
80,9.1,0,1,20.94,0,1,34.781,0,1,   ---0---,0,1,8.918,0,1,   ---0---,0,1,9.1,0,1,,,,,,
81,9.1,0,1,   ---0---,0,1,   ---0---,0,1,178.27,0,1,   ---0---,0,1,0.591,0,1,9.2,0,1,,,,,,
82,9.2,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,1,0.562,0,1,9.3,0,1,,,,,,
83,9.3,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,1,0.504,0,1,9.4,0,1,,,,,,
84,9.4,0,1,20.94,0,1,34.78,0,1,   ---0---,0,1,   ---0---,0,1,0.548,0,1,9.5,0,1,,,,,,
