2017JD  theta1  r1  theta2  r2 theta3 r3
200 68.961029 0.401029 84.804511 0.122330 80.381602 0.288105
201 67.803447 0.397021 89.830524 0.144528 82.957896 0.281833
202 67.387286 0.391941 93.202682 0.157155 86.923040 0.275190
203 67.136248 0.388072 94.207636 0.170537 90.088619 0.263234
204 67.040456 0.383033 94.774460 0.185832 93.005206 0.257230
205 67.802566 0.383014 94.710697 0.191873 94.030078 0.256728
206 68.769848 0.378782 93.914333 0.203948 96.493260 0.249493
207 70.643480 0.380749 92.841863 0.203007 95.554820 0.249833
208 73.243642 0.383860 92.175907 0.197800 95.295301 0.256880
209 75.434194 0.386825 91.489284 0.194306 94.272893 0.265204
210 77.035158 0.389244 91.300125 0.190507 93.509235 0.271395
211 79.113530 0.391193 91.740114 0.181041 92.554241 0.281770
212 79.786215 0.394662 92.142074 0.173366 92.044420 0.295531
213 81.050234 0.393396 93.805184 0.165036 92.412354 0.309872
214 81.851745 0.392001 97.524130 0.155582 92.838229 0.322646
215 83.256174 0.390007 100.670297 0.154814 95.509585 0.338598
216 83.612653 0.386887 105.059917 0.155169 97.083213 0.352960
217 84.288327 0.378938 108.578384 0.164845 98.952504 0.359142
218 84.779202 0.370734 110.955159 0.174954 100.844825 0.363945
219 85.120579 0.364287 113.950093 0.180679 102.729508 0.370765
220 86.029405 0.357040 113.652485 0.188833 104.689948 0.375055
221 87.016653 0.346860 114.575236 0.203985 107.310949 0.371429
222 88.263136 0.341648 115.396749 0.213799 109.616664 0.373626
223 89.021677 0.342549 115.014251 0.212839 110.641654 0.379915
224 90.599652 0.338101 114.310144 0.221303 112.543688 0.382821
225 91.839136 0.338155 114.440626 0.227952 113.644859 0.388506
226 91.962491 0.341391 114.907470 0.228467 113.730669 0.395305
227 92.487049 0.342748 114.329142 0.234072 114.431329 0.402388
228 91.354469 0.344571 113.422433 0.235857 112.808339 0.397315
229 90.020764 0.343153 112.921094 0.241088 111.693180 0.396967
230 88.530507 0.339751 112.847852 0.248606 111.455453 0.388455
231 86.891268 0.333025 112.803455 0.257230 111.295924 0.379624
232 84.696699 0.329307 111.853608 0.256826 109.277475 0.365137
233 82.628660 0.329567 110.103894 0.252987 107.311463 0.351439
